customer_id,name,segment,birthdate,updated_at
"00001","Client_001","STD","1998-04-12","2026-01-18 09:10:00"
"00002","Client_002","VIP","2000-07-01","2026-01-19 10:05:00"
"00003","Client_003","std","2001/03/14","2026-01-17 08:30:00"
"00004","Client_004","STUDENT","2004-05-12","2026-01-20 11:00:00"
"00005","Client_005"," VIP ","","2026-01-21 12:45:00"
"00006","Client_006","STD","1997-12-30","2026-01-22 07:20:00"
" 00007 ","Client_007","vip","02/01/02","2026-01-16 15:00:00"
"00007","Client_007A","VIP","2002-01-02","2026-01-25 13:30:00"
"00008","Client_008","STD","1995-09-09","2026-01-23 09:00:00"
"00009","Client_009","student","2003-11-21","2026-01-24 16:10:00"
"00010","Client_010","STD","1999-10-05","2026-01-18 18:00:00"
"00011","Client_011","VIP","2001-06-18","2026-01-26 10:10:00"
"00012","Client_012","Std","not_a_date","2026-01-19 09:40:00"
"00012","Client_012B","STD","1996-08-20","2026-01-27 08:15:00"
"00013","Client_013","VIP","1994-02-02","2026-01-20 07:05:00"
"00014","Client_014","STD","1993-03-03","2026-01-21 06:55:00"
"00015","Client_015","STD","","2026-01-22 14:20:00"
"00016","Client_016","VIP","1991-01-11","2026-01-23 12:12:00"
"00017","Client_017","STD","1990-05-05","2026-01-24 09:09:00"
"00018","Client_018","STD","1992-07-07","2026-01-25 17:45:00"
"00019","Client_019","VIP","1998-09-19","2026-01-26 08:00:00"
"00020","Client_020","STD","1997-04-04","2026-01-27 19:30:00"
